"continent","location","date","population","new_vaccinations","total_vaccinaton","?column?"
"Asia","Afghanistan","2023-04-25",41128772,3316,78275,0.1903168905699397
"Asia","Afghanistan","2022-11-16",41128772,14800,74959,0.1822544081792668
"Asia","Afghanistan","2022-11-02",41128772,36587,60159,0.14626986674924308
"Asia","Afghanistan","2022-09-12",41128772,9447,23572,0.057312676391116174
"Asia","Afghanistan","2022-04-27",41128772,383,14125,0.03434335457426251
"Asia","Afghanistan","2022-01-27",41128772,6868,13742,0.03341213299536393
"Asia","Afghanistan","2021-06-03",41128772,4015,6874,0.016713360661485346
"Asia","Afghanistan","2021-05-27",41128772,2859,2859,0.006951338104624179
"Europe","Albania","2022-03-15",2842318,2541,1417691,49.87798691068346
"Europe","Albania","2022-02-16",2842318,3488,1415150,49.788588046798424
"Europe","Albania","2022-02-15",2842318,3891,1411662,49.66587130644777
"Europe","Albania","2022-02-14",2842318,3966,1407771,49.52897599775958
"Europe","Albania","2022-02-07",2842318,5146,1403805,49.38944199769343
"Europe","Albania","2022-01-11",2842318,9006,1398659,49.20839258661417
"Europe","Albania","2022-01-05",2842318,11284,1389653,48.8915385259496
"Europe","Albania","2021-12-15",2842318,9865,1378369,48.49453861249867
"Europe","Albania","2021-12-14",2842318,10313,1368504,48.147462739918616
"Europe","Albania","2021-12-13",2842318,9944,1358191,47.78462508417425
"Europe","Albania","2021-12-08",2842318,5009,1348247,47.434769790009426
"Europe","Albania","2021-12-07",2842318,10133,1343238,47.25854038851388
"Europe","Albania","2021-12-06",2842318,9202,1333105,46.90203559207661
"Europe","Albania","2021-12-01",2842318,10758,1323903,46.578285751277654
"Europe","Albania","2021-11-25",2842318,7112,1313145,46.199791860024106
"Europe","Albania","2021-11-18",2842318,8205,1306033,45.94957355229077
"Europe","Albania","2021-11-17",2842318,8607,1297828,45.66090071554274
"Europe","Albania","2021-11-11",2842318,8258,1289221,45.358084493008874
"Europe","Albania","2021-11-10",2842318,8614,1280963,45.06754698102042
"Europe","Albania","2021-11-07",2842318,2472,1272349,44.76448448062462
"Europe","Albania","2021-10-29",2842318,5172,1269877,44.67751321280729
"Europe","Albania","2021-10-28",2842318,5611,1264705,44.49554905538367
"Europe","Albania","2021-10-25",2842318,5488,1259094,44.2981397577611
"Europe","Albania","2021-10-22",2842318,5607,1253606,44.105057913998365
"Europe","Albania","2021-10-21",2842318,5720,1247999,43.90778934658262
"Europe","Albania","2021-10-20",2842318,5981,1242279,43.706545150824084
"Europe","Albania","2021-10-19",2842318,5973,1236298,43.496118309070276
"Europe","Albania","2021-10-18",2842318,5805,1230325,43.285972927730114
"Europe","Albania","2021-10-13",2842318,6147,1224520,43.08173821507657
"Europe","Albania","2021-10-12",2842318,6634,1218373,42.865471069739556
"Europe","Albania","2021-10-09",2842318,5759,1211739,42.63207002172171
"Europe","Albania","2021-10-08",2842318,5608,1205980,42.42945370644664
"Europe","Albania","2021-10-07",2842318,5891,1200372,42.232149956479184
